Wall time,Step,Value
1582821361.5277689,89428,-148.36407470703125
1582821362.0351887,89955,-146.35830688476562
1582821363.386015,91068,-144.52542114257812
1582821364.0728257,91576,-141.88827514648438
1582821364.1535292,91636,-141.22093200683594
1582821364.812,92218,-140.75741577148438
1582821365.085949,92428,-137.8550262451172
1582821365.3978698,92783,-137.47364807128906
1582821365.420314,92805,-138.97023010253906
1582821366.0552166,93462,-136.93614196777344
1582821366.2751822,93652,-137.0347900390625
1582821369.0479493,95579,-131.00743103027344
1582821369.4434,95870,-125.12871551513672
1582821370.1232746,96442,-121.61791229248047
1582821370.2833962,96705,-119.5932846069336
1582821370.5675979,97247,-115.13809204101562
1582821370.751047,97571,-107.94124603271484
1582821372.2995627,99229,-100.94239044189453
1582821373.640493,100178,-99.2890396118164
1582821374.5039868,100718,-97.34382629394531
1582821375.2181358,101350,-95.82579040527344
1582821376.1197436,102415,-93.62213897705078
1582821376.9216065,103365,-90.77996826171875
1582821377.072379,103545,-90.12149810791016
1582821377.702031,104191,-89.99686431884766
1582821378.0913856,104633,-84.45284271240234
1582821378.6243873,105541,-84.02710723876953
1582821379.8185523,107185,-89.792236328125
1582821381.4950798,109285,-88.04139709472656
1582821382.7584727,110330,-88.90702056884766
1582821383.9270191,111144,-85.66504669189453
1582821384.5732615,111635,-85.2886962890625
1582821386.1456022,112604,-82.93817901611328
1582821386.5351267,112816,-79.56441497802734
1582821386.7663589,112987,-75.56916046142578
1582821386.9998972,113263,-73.40880584716797
1582821387.7560503,114034,-71.63321685791016
1582821389.1728537,115353,-68.64445495605469
1582821389.3399565,115604,-67.64164733886719
1582821390.2071195,116864,-59.53826141357422
1582821391.8871222,118516,-54.18214797973633
1582821392.303586,118970,-52.34971618652344
1582821392.5968716,119232,-50.97104263305664
1582821392.6831555,119311,-49.64579772949219
1582821393.1155882,120015,-48.68272018432617
1582821393.2635632,120243,-48.792842864990234
1582821393.341431,120363,-48.87111282348633
1582821393.4822216,120615,-48.41718292236328
1582821393.7613301,120986,-48.932857513427734
1582821394.8813279,122182,-48.837852478027344
1582821396.5741177,123556,-50.08271026611328
1582821397.2130213,124023,-49.08586502075195
1582821397.7459183,124491,-51.63175582885742
1582821398.2130306,124993,-51.26536178588867
1582821398.6668713,125525,-51.436981201171875
1582821398.7609634,125624,-51.78074264526367
1582821399.1757133,126134,-53.24440002441406
1582821399.4645996,126489,-51.570953369140625
1582821399.9004757,127029,-53.105133056640625
1582821400.0215828,127187,-54.192039489746094
1582821405.9579654,131511,-57.67946243286133
1582821406.4811227,132256,-56.155269622802734
1582821406.5010138,132295,-56.74701690673828
1582821406.5461733,132391,-56.71056365966797
1582821407.1453521,133343,-55.608646392822266
1582821407.791093,134193,-54.06230163574219
1582821408.8509219,135274,-51.24228286743164
1582821409.8760173,136418,-52.043365478515625
1582821411.0236948,137793,-52.939910888671875
1582821415.2208436,140924,-54.450538635253906
1582821416.3104415,141667,-54.635284423828125
