,mean_reward_100_steps,steps
630,-132.919015591769,60675
631,-132.0321771652577,60799
632,-130.85492372792677,60902
633,-131.70247385637336,60998
634,-131.6062007995379,61078
635,-131.42238305321777,61139
636,-131.3325225939438,61218
637,-131.01115364791983,61350
638,-130.319413371215,61435
639,-131.58234499394416,61546
640,-131.23461554631282,61619
641,-132.1880416774008,61702
642,-133.35134163351412,61835
643,-133.02344321419406,61906
644,-133.2708982618832,61993
645,-132.96682455845513,62081
646,-134.9906646589063,62175
647,-133.1078090028815,62289
648,-133.17441685871742,62386
649,-134.0767478084046,62502
650,-133.97418740754634,62597
651,-132.70968115237915,62717
652,-133.43624016874045,62797
653,-133.75676579931636,62867
654,-133.81672406644176,62935
655,-133.8731206355345,63007
656,-132.83134103846297,63087
657,-131.47986698221607,63166
658,-131.31954510782487,63265
659,-131.56742813087442,63350
660,-132.6866349391078,63445
661,-131.82610380858875,63503
662,-131.94933502618673,63579
663,-131.71405812722222,63692
664,-132.02819552401294,63824
665,-130.2181603434409,63918
666,-129.60776992652853,64026
667,-133.71255697484236,64137
668,-134.03835354372606,64242
669,-133.32948012613238,64322
670,-132.499758488937,64420
671,-132.18087140795842,64529
672,-131.9489901556054,64589
673,-131.2614258180611,64664
674,-131.18619751311127,64727
675,-130.51616432165355,64841
676,-129.9612163941907,64939
677,-129.74160945776714,65010
678,-131.55227827372255,65137
679,-130.48471454312022,65205
680,-128.48722058556098,65309
681,-127.86063403931865,65443
682,-127.7909019905352,65575
683,-128.4173602791008,65673
684,-126.38917712794948,65752
685,-124.81472345744557,65845
686,-123.78092869373451,65948
687,-124.13083618483662,66053
688,-124.78386335584453,66157
689,-124.54111732183725,66225
690,-123.93889659952865,66311
691,-123.85335860017862,66389
692,-124.1710569443197,66487
693,-124.05465220501397,66554
694,-124.26564588651809,66659
695,-122.55066990011781,66735
696,-121.55700230500634,66841
697,-120.21040390824933,66967
698,-119.78291622702416,67081
699,-120.01761518796243,67183
700,-119.62335818710484,67312
701,-119.75256103734597,67382
702,-121.44525572902974,67483
703,-121.57355187838637,67637
704,-121.52634136622872,67717
705,-122.39602202817261,67808
706,-122.22278997499284,67903
707,-123.1841358924019,68028
708,-123.05309817451145,68122
709,-122.64484892867324,68205
710,-123.99747674064544,68309
711,-123.85101939743072,68408
712,-123.35477810370314,68492
713,-122.49205870106466,68567
714,-124.10951144672555,68682
715,-124.77295175434725,68813
716,-125.77981147492916,68913
717,-125.35900182737629,69057
718,-125.75828885623494,69175
719,-123.85511207587017,69283
720,-123.6026185349654,69362
721,-124.32231889133185,69438
722,-124.12257996345807,69601
723,-123.19434208085619,69678
724,-122.98694859429625,69818
725,-125.16917478242462,69929
726,-124.96342527142687,70049
727,-125.11633652305797,70150
728,-124.8876009016237,70243
729,-124.53680532902489,70405
730,-122.48411147083984,70481
731,-126.37779061552587,70586
732,-124.51525801144278,70661
733,-124.41333166522016,70783
734,-124.37077015717276,70917
735,-124.57968121041569,71036
736,-124.30667146316915,71133
737,-124.43699718692822,71213
738,-123.85640198008903,71300
739,-124.1248852264734,71389
740,-124.03865659413628,71499
741,-124.01778278077582,71609
742,-125.48791809489543,71702
743,-125.22031642303344,71769
744,-125.07715553522563,71843
745,-126.61072174246297,71947
746,-125.06282907932675,72013
747,-125.43225919200708,72087
748,-126.16591059890703,72196
749,-125.36703202072349,72291
750,-125.15716208900547,72403
751,-124.37568573236881,72473
752,-123.4371853521502,72561
753,-123.87243594713425,72661
754,-125.54142927253758,72764
755,-125.74634536773776,72875
756,-126.08049062732088,72944
757,-126.30002327631637,73021
758,-127.5701513387812,73142
759,-127.54239302603368,73242
760,-125.92209653908667,73443
761,-127.25986249835752,73574
762,-127.4259831263501,73668
763,-127.4606650793671,73741
764,-126.73690625687725,73832
765,-127.3057850111136,73932
766,-127.38691081436028,74039
767,-126.77119973981226,74169
768,-126.16459708310896,74260
769,-126.4080901174532,74372
770,-126.15362371000616,74488
771,-127.60024900590847,74593
772,-128.2793905506537,74676
773,-128.5513396660559,74799
774,-129.00669666022694,74947
775,-129.130078160319,75026
776,-128.74856923220466,75098
777,-131.7600597669396,75247
778,-130.18918879254298,75319
779,-130.00279456418534,75423
780,-129.59523819765099,75499
781,-130.96433841825075,75588
782,-130.95843332822517,75709
783,-129.71028844672708,75778
784,-129.8663163163744,75880
785,-131.18169567016986,75984
786,-131.66925743822244,76104
787,-132.06255035584235,76208
788,-131.7303911585614,76331
789,-133.39079439500864,76488
790,-133.5896343049637,76599
791,-133.6837545648902,76672
792,-132.39667764056426,76787
793,-132.34655384894052,76869
794,-131.73434243308805,76957
795,-132.03940116836586,77094
796,-133.84801726477642,77211
797,-133.98465987653438,77278
798,-135.79493420267517,77401
799,-135.66042029186553,77517
800,-136.50515460261167,77595
801,-136.87912626947417,77688
802,-134.0531287106435,77797
803,-133.99878863942766,77909
804,-134.17216291556235,77993
805,-132.7310834505961,78078
806,-132.72850074152774,78173
807,-132.25708884448795,78300
808,-131.90614550762413,78364
809,-131.95070508429617,78491
810,-131.4127207587863,78624
811,-131.16362067228937,78786
812,-131.04339752738855,78867
813,-130.92258942718416,78945
814,-131.05408363677236,79042
815,-133.87795445939418,79126
816,-133.44258699634582,79208
817,-133.11388989203408,79297
818,-132.99847484932437,79400
819,-132.77582234080302,79477
820,-133.00658672658275,79572
821,-133.71488161012664,79708
822,-133.98055692531895,79823
823,-135.2450284219896,79958
824,-135.04658288021432,80086
825,-135.43163244491197,80204
826,-135.51709799181597,80307
827,-135.72666533224773,80411
828,-135.81430169631807,80513
829,-134.0939308528298,80615
830,-134.8596755114244,80737
831,-130.22096559026298,80856
832,-130.71481210620698,80956
833,-130.42685340387663,81037
834,-130.36896467375763,81150
835,-130.65070152506837,81230
836,-133.0808583497518,81352
837,-134.0090540552583,81483
838,-134.89817249278607,81580
839,-135.6404725331793,81748
840,-135.72106594438392,81850
841,-134.9353179872692,81926
842,-132.33158646871422,82061
843,-132.25260047091712,82148
844,-133.17252608203933,82231
845,-133.30233649434788,82361
846,-131.67128623397582,82507
847,-131.6939084933143,82604
848,-133.57565363246624,82705
849,-133.6903928961953,82805
850,-134.01648288941004,82941
851,-134.60379704955704,83045
852,-136.8464112781099,83194
853,-137.25012524013016,83299
854,-136.6168782957792,83432
855,-138.21354310059317,83558
856,-139.06255502897454,83665
857,-138.44603872363717,83737
858,-138.1366499256909,83851
859,-137.66453063441696,83925
860,-137.7330157746774,84009
861,-137.29831222414438,84145
862,-136.84179742188513,84208
863,-137.17293202136523,84342
864,-137.62853365954686,84472
865,-136.28116356267228,84595
866,-136.18384600070024,84694
867,-133.61682069477948,84817
868,-133.9117259349327,84904
869,-133.78588753439863,85058
870,-133.63947706511945,85128
871,-133.67553514710988,85241
872,-133.8132691230057,85361
873,-133.0322768812022,85449
874,-132.07553601422651,85617
875,-132.32139915423514,85726
876,-132.86042865734717,85854
877,-129.3048430821677,85985
878,-129.61622699184093,86093
879,-130.71151259848165,86281
880,-132.04110226354422,86368
881,-131.18608487774097,86540
882,-133.16665923077767,86678
883,-133.0095221047459,86758
884,-133.0895310961374,86857
885,-131.91753111494782,86970
886,-132.0374713276474,87049
887,-131.31503226712962,87167
888,-133.2606718101579,87283
889,-132.02844662092537,87398
890,-132.38122815034478,87509
891,-133.08619164281293,87607
892,-133.25611915921272,87705
893,-135.23439003905372,87840
894,-135.05652233261847,87985
895,-135.5598858208724,88115
896,-134.51232620891773,88189
897,-134.01526202909804,88264
898,-132.81759150138404,88396
899,-134.8348925459413,88487
900,-134.25448469085097,88585
901,-133.9481021355291,88701
902,-135.20539905745466,88817
903,-134.4410112961446,88988
904,-134.24203185723357,89105
905,-133.55906941289666,89208
906,-133.1693092267988,89286
907,-132.65975976744153,89378
908,-132.42150610518308,89449
909,-133.08360795387156,89528
910,-133.68588003828683,89641
911,-135.70709532343975,89759
912,-136.98864395891832,89899
913,-136.79026214311736,90008
914,-135.45707732432263,90096
915,-132.71826422510378,90240
916,-133.96103981493042,90347
917,-135.1154574076013,90459
918,-136.58449074192004,90526
919,-137.92442184921262,90690
920,-138.06429464023654,90792
921,-137.84383299330227,90894
922,-137.10495212205976,90971
923,-137.29222137057823,91074
924,-137.0800895708484,91159
925,-135.48144643748398,91341
926,-134.58472822636497,91420
927,-134.30265135907544,91496
928,-134.7416199742837,91597
929,-134.32925934184485,91732
930,-135.63510457616275,91825
931,-136.62559011498607,91987
932,-138.2670167240346,92146
933,-137.93179812653938,92288
934,-138.44347209036826,92416
935,-138.2098038472943,92530
936,-135.13279547766376,92608
937,-133.69089373484346,92750
938,-133.6304729232816,92882
939,-132.02534633240262,92954
940,-131.72599330119613,93024
941,-133.01415210838067,93148
942,-133.2368323420749,93230
943,-136.67410328091145,93373
944,-135.23636149966998,93459
945,-133.85203722321785,93567
946,-136.3963987256663,93763
947,-136.14307666859625,93856
948,-135.3714988254622,93994
949,-135.58039150769466,94160
950,-135.07039408843525,94274
951,-136.20625178989002,94416
952,-134.95153678939667,94561
953,-134.05952706183575,94655
954,-132.56256678311834,94744
955,-129.857453335,94906
956,-129.8543606982488,95030
957,-130.58101590544945,95184
958,-130.0128620419047,95340
959,-129.85365866716916,95443
960,-129.80532036688845,95526
961,-130.6457900427793,95679
962,-132.51610023770093,95859
963,-131.93188488786512,95929
964,-133.2730517388203,96078
965,-134.35622349440214,96167
966,-133.68404492935306,96244
967,-133.8469975599419,96389
968,-133.61073428949786,96466
969,-136.13691697277815,96651
970,-136.06466726768582,96731
971,-134.56193684578332,96839
972,-134.54553105693734,96939
973,-134.63298031307062,97015
974,-135.15718895619395,97126
975,-134.8119226629824,97226
976,-135.172821761591,97321
977,-134.98091274345452,97400
978,-135.7303815887916,97523
979,-137.98820391254415,97653
980,-136.81870211036465,97816
981,-136.9097439700648,97913
982,-134.7232008018263,98020
983,-135.7732508617998,98153
984,-136.90854476943224,98313
985,-138.02280227851557,98438
986,-137.93845931865968,98568
987,-138.6790736933777,98692
988,-139.01203540409713,98846
989,-138.1275704668683,98925
990,-138.07536307301146,99063
991,-136.47921035583357,100064
992,-135.81852996386115,100200
993,-135.91964284727175,100354
994,-135.88300556594908,100449
995,-135.99408412620676,100541
996,-136.5156154936753,100676
997,-138.06775728603174,100814
998,-137.1607910504072,100898
